"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"5622",3,0,0.0011,0.004,0,0.217,0.783,"CE"
"5623",3,0,0.0022,0.0042,0,0.3423,0.6577,"CE"
"5624",3,0,0.0015,0.0047,0,0.2428,0.7572,"CE"
"5625",3,0,0.0021,0.0039,0,0.3517,0.6483,"CE"
"5626",3,0,0.0016,0.0035,0,0.3147,0.6853,"CE"
"5627",2,0.0021,0,0.004,0.3407,0,0.6593,"AE"
"5628",3,0,0.0017,0.0035,0,0.3274,0.6726,"CE"
"5629",3,0,0.0017,0.0041,0,0.2905,0.7095,"CE"
"5630",3,0,0.0019,0.0047,0,0.2886,0.7114,"CE"
"5631",3,0,0.0011,0.0039,0,0.2201,0.7799,"CE"
"5632",4,0,0,0.0045,0,0,1,"E"
"5633",3,0,0.0013,0.0039,0,0.2432,0.7568,"CE"
"5634",3,0,0.0014,0.0037,0,0.2805,0.7195,"CE"
"5635",3,0,0.0019,0.0043,0,0.3057,0.6943,"CE"
"5636",3,0,9e-04,0.0038,0,0.196,0.804,"CE"
"5637",3,0,0.0015,0.0035,0,0.2988,0.7012,"CE"
"5638",3,0,0.0013,0.0034,0,0.277,0.723,"CE"
"5639",3,0,0.0015,0.0045,0,0.2536,0.7464,"CE"
"5640",3,0,9e-04,0.0039,0,0.1953,0.8047,"CE"
"5641",3,0,0.0015,0.0043,0,0.2614,0.7386,"CE"
"5642",2,0.0022,0,0.0035,0.3812,0,0.6188,"AE"
"5643",3,0,0.0025,0.0035,0,0.4139,0.5861,"CE"
"5644",3,0,0.001,0.0037,0,0.2198,0.7802,"CE"
"5645",3,0,0.0014,0.0039,0,0.2677,0.7323,"CE"
"5646",3,0,0.0014,0.0038,0,0.2737,0.7263,"CE"
"5647",3,0,0.0012,0.0044,0,0.2076,0.7924,"CE"
"5648",3,0,0.0015,0.0038,0,0.289,0.711,"CE"
"5649",7,0,0.0013,0.0038,0,0.2477,0.7523,"DE"
"5650",2,0.0016,0,0.0039,0.2974,0,0.7026,"AE"
"5651",3,0,0.002,0.0044,0,0.311,0.689,"CE"
"5652",3,0,0.0014,0.0031,0,0.3062,0.6938,"CE"
"5653",2,0.0015,0,0.0038,0.2867,0,0.7133,"AE"
"5654",3,0,0.0016,0.0039,0,0.295,0.705,"CE"
"5655",3,0,0.0017,0.0043,0,0.2906,0.7094,"CE"
"5656",2,0.0014,0,0.0032,0.3018,0,0.6982,"AE"
"5657",3,0,0.0014,0.0045,0,0.236,0.764,"CE"
"5658",3,0,0.0011,0.004,0,0.2159,0.7841,"CE"
"5659",3,0,0.0021,0.0037,0,0.3616,0.6384,"CE"
"5660",3,0,0.0014,0.0039,0,0.2631,0.7369,"CE"
"5661",3,0,0.0015,0.0042,0,0.2581,0.7419,"CE"
"5662",3,0,0.002,0.0041,0,0.3353,0.6647,"CE"
"5663",3,0,0.0019,0.004,0,0.3178,0.6822,"CE"
"5664",3,0,0.0014,0.0033,0,0.3015,0.6985,"CE"
"5665",4,0,0,0.0054,0,0,1,"E"
"5666",3,0,0.0016,0.0048,0,0.2471,0.7529,"CE"
"5667",3,0,0.0011,0.0039,0,0.2209,0.7791,"CE"
"5668",2,0.0021,0,0.0045,0.3145,0,0.6855,"AE"
"5669",3,0,9e-04,0.0045,0,0.1734,0.8266,"CE"
"5670",3,0,0.0021,0.0044,0,0.3257,0.6743,"CE"
"5671",3,0,0.0018,0.004,0,0.3057,0.6943,"CE"
"5672",3,0,0.0019,0.0049,0,0.2819,0.7181,"CE"
"5673",3,0,0.0014,0.0048,0,0.2298,0.7702,"CE"
"5674",3,0,0.002,0.004,0,0.3335,0.6665,"CE"
"5675",4,0,0,0.0045,0,0,1,"E"
"5676",3,0,0.0012,0.0048,0,0.1958,0.8042,"CE"
"5677",3,0,0.0015,0.0043,0,0.2559,0.7441,"CE"
"5678",3,0,0.0017,0.0039,0,0.2991,0.7009,"CE"
"5679",3,0,0.0016,0.0044,0,0.2718,0.7282,"CE"
