"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"5890",2,0.0014,0,0.0031,0.3132,0,0.6868,"AE"
"5891",3,0,0.002,0.003,0,0.4086,0.5914,"CE"
"5892",7,0,0.0014,0.0028,0,0.3393,0.6607,"DE"
"5893",3,0,0.0015,0.0026,0,0.3663,0.6337,"CE"
"5894",7,0,0.0021,0.0026,0,0.4442,0.5558,"DE"
"5895",3,0,9e-04,0.0032,0,0.2125,0.7875,"CE"
"5896",3,0,0.0011,0.0032,0,0.2525,0.7475,"CE"
"5897",3,0,0.0011,0.0035,0,0.2483,0.7517,"CE"
"5898",3,0,0.0011,0.0034,0,0.2411,0.7589,"CE"
"5899",2,0.0018,0,0.0035,0.3463,0,0.6537,"AE"
"5900",3,0,0.001,0.0032,0,0.2304,0.7696,"CE"
"5901",7,0,0.002,0.0021,0,0.498,0.502,"DE"
"5902",6,0.0019,0,0.0032,0.3711,0,0.6289,"AE"
"5903",7,0,0.0018,0.0021,0,0.4582,0.5418,"DE"
"5904",6,0.0017,0,0.0031,0.353,0,0.647,"AE"
"5905",3,0,0.0018,0.0034,0,0.3435,0.6565,"CE"
"5906",6,0.0016,0,0.0025,0.3932,0,0.6068,"AE"
"5907",3,0,9e-04,0.0036,0,0.1969,0.8031,"CE"
"5908",6,0.0014,0,0.0032,0.3093,0,0.6907,"AE"
"5909",2,0.0021,0,0.0023,0.479,0,0.521,"AE"
"5910",2,0.0022,0,0.0031,0.4144,0,0.5856,"AE"
"5911",3,0,0.0018,0.0037,0,0.3275,0.6725,"CE"
"5912",3,0,0.0019,0.0035,0,0.3497,0.6503,"CE"
"5913",2,0.0021,0,0.0027,0.4322,0,0.5678,"AE"
"5914",3,0,0.0015,0.0032,0,0.3132,0.6868,"CE"
"5915",2,0.0017,0,0.0027,0.3818,0,0.6182,"AE"
"5916",3,0,0.0011,0.0028,0,0.287,0.713,"CE"
"5917",2,0.002,0,0.003,0.3996,0,0.6004,"AE"
"5918",6,0.0013,0,0.0031,0.3026,0,0.6974,"AE"
"5919",8,0,0,0.0044,0,0,1,"E"
"5920",8,0,0,0.0037,0,0,1,"E"
"5921",3,0,0.0024,0.0031,0,0.4361,0.5639,"CE"
"5922",3,0,0.0011,0.0035,0,0.2441,0.7559,"CE"
"5923",2,0.0022,0,0.0021,0.5068,0,0.4932,"AE"
"5924",7,0,0.0028,0.0021,0,0.5754,0.4246,"DE"
"5925",6,0.0011,0,0.003,0.2754,0,0.7246,"AE"
"5926",2,0.0012,0,0.0033,0.2609,0,0.7391,"AE"
"5927",4,0,0,0.0041,0,0,1,"E"
"5928",3,0,9e-04,0.003,0,0.225,0.775,"CE"
"5929",2,0.002,0,0.0032,0.3818,0,0.6182,"AE"
"5930",6,0.0016,0,0.0034,0.3171,0,0.6829,"AE"
"5931",3,0,0.0014,0.0034,0,0.2904,0.7096,"CE"
"5932",3,0,0.0012,0.0031,0,0.2828,0.7172,"CE"
"5933",2,0.0017,0,0.0032,0.3494,0,0.6506,"AE"
"5934",3,0,0.0016,0.0037,0,0.3027,0.6973,"CE"
"5935",2,0.0025,0,0.0024,0.5115,0,0.4885,"AE"
"5936",2,0.0014,0,0.0033,0.3022,0,0.6978,"AE"
"5937",3,0,0.0016,0.0041,0,0.277,0.723,"CE"
"5938",3,0,0.0013,0.0031,0,0.2902,0.7098,"CE"
"5939",3,0,0.0016,0.0039,0,0.2848,0.7152,"CE"
